kode,nama,tipe,nature,sub_nature,laporan,psak_ref,keterangan
1000,KAS & SETARA KAS,Aset,Lancar,Kas,Neraca,PSAK 1,
1200,Kas di Bank,Aset,Lancar,Kas,Neraca,,
1210,Kas Bank BCA,Aset,Lancar,Kas,Neraca,,
1300,PIUTANG USAHA,Aset,Lancar,Piutang,Neraca,PSAK 71,
1330,Piutang Gojek/GrabFood,Aset,Lancar,Piutang,Neraca,,
1340,Piutang ShopeeFood,Aset,Lancar,Piutang,Neraca,,
1500,PAJAK DIBAYAR DIMUKA,Aset,Lancar,Pajak,Neraca,,
1510,PPN Masukan,Aset,Lancar,Pajak,Neraca,,
1700,PERSEDIAAN,Aset,Lancar,Persediaan,Neraca,PSAK 14,
1710,Persediaan Bahan Baku Makanan,Aset,Lancar,Persediaan,Neraca,,
1720,Persediaan Bahan Baku Minuman,Aset,Lancar,Persediaan,Neraca,,
1730,Persediaan Bahan Pembantu,Aset,Lancar,Persediaan,Neraca,,
1740,Persediaan Kertas/Stik/Ah,Aset,Lancar,Persediaan,Neraca,,
1800,ASET TETAP,Aset,Tidak Lancar,Aset Tetap,Neraca,PSAK 16,
1810,Kendaraan,Aset,Tidak Lancar,Aset Tetap,Neraca,,
1820,Peralatan Dapur,Aset,Tidak Lancar,Aset Tetap,Neraca,,
1830,Peralatan Kantor,Aset,Tidak Lancar,Aset Tetap,Neraca,,
1840,Furniture & Fixture,Aset,Tidak Lancar,Aset Tetap,Neraca,,
1850,Mesin,Aset,Tidak Lancar,Aset Tetap,Neraca,,
1900,AKUMULASI PENYUSUTAN,Aset,Tidak Lancar,Akum Penyusutan,Neraca,PSAK 16,
2000,ASET TIDAK BERWUJUD,Aset,Tidak Lancar,Aset Tdk Berwujud,Neraca,ISAK 35,
2010,Software POS,Aset,Tidak Lancar,Aset Tdk Berwujud,Neraca,,
3000,KEWAJIBAN JANGKA PENDEK,Kewajiban,Lancar,Kewajiban JP,Neraca,,
3100,Utang Usaha,Kewajiban,Lancar,Kewajiban JP,Neraca,,
3200,PPN Keluaran,Kewajiban,Lancar,Kewajiban JP,Neraca,,
3300,Utang PPh,Kewajiban,Lancar,Kewajiban JP,Neraca,,
3400,Utang Gaji & Tunjangan,Kewajiban,Lancar,Kewajiban JP,Neraca,PSAK 68,
3500,Utang BPJS,Kewajiban,Lancar,Kewajiban JP,Neraca,,
4000,KEWAJIBAN JANGKA PANJANG,Kewajiban,Tidak Lancar,Kewajiban JLP,Neraca,,
4100,Utang Bank,Kewajiban,Tidak Lancar,Kewajiban JLP,Neraca,,
5000,MODAL,Ekuitas,Modal,Modal,Neraca,,
5100,Modal Disetor,Ekuitas,Modal,Modal,Neraca,,
5200,Prive,Ekuitas,Modal,Modal,Neraca,,
6000,PENDAPATAN,Pendapatan,Operasional,Pendapatan,Laba Rugi,PSAK 72,
6100,Pendapatan Penjualan Makanan,Pendapatan,Operasional,Pendapatan,Laba Rugi,,
6110,Pendapatan Penjualan Dine-in,Pendapatan,Operasional,Pendapatan,Laba Rugi,,
6120,Pendapatan Penjualan Takeaway,Pendapatan,Operasional,Pendapatan,Laba Rugi,,
6130,Pendapatan Penjualan Delivery,Pendapatan,Operasional,Pendapatan,Laba Rugi,,
6200,Pendapatan Penjualan Minuman,Pendapatan,Operasional,Pendapatan,Laba Rugi,,
6300,Pendapatan Catering/Event,Pendapatan,Operasional,Pendapatan,Laba Rugi,,
6400,Pendapatan Lain-lain,Pendapatan,Operasional,Pendapatan,Laba Rugi,,
7000,HARGA POKOK PENJUALAN,Beban,Operasional,HPP,Laba Rugi,,
7100,HPP Makanan,Beban,Operasional,HPP,Laba Rugi,,
7200,HPP Minuman,Beban,Operasional,HPP,Laba Rugi,,
8000,BEBAN OPERASIONAL,Beban,Operasional,Beban,Laba Rugi,,
8100,Beban Gaji & Tunjangan,Beban,Operasional,Beban,Laba Rugi,PSAK 68,
8200,Beban Sewa,Beban,Operasional,Beban,Laba Rugi,PSAK 73,
8300,Beban Utilitas,Beban,Operasional,Beban,Laba Rugi,,
8310,Beban Listrik,Beban,Operasional,Beban,Laba Rugi,,
8320,Beban Gas,Beban,Operasional,Beban,Laba Rugi,,
8500,Beban Penyusutan,Beban,Operasional,Beban,Laba Rugi,PSAK 16,
8700,Beban Komisi Ojol,Beban,Operasional,Beban,Laba Rugi,,
8710,Beban Komisi Gojek,Beban,Operasional,Beban,Laba Rugi,,
8720,Beban Komisi GrabFood,Beban,Operasional,Beban,Laba Rugi,,
8730,Beban Komisi ShopeeFood,Beban,Operasional,Beban,Laba Rugi,,
8900,Beban Bunga,Beban,Operasional,Beban,Laba Rugi,PSAK 73,
9000,Beban Pajak,Beban,Operasional,Beban,Laba Rugi,,
9200,Beban Lain-lain,Beban,Operasional,Beban,Laba Rugi,,
9230,Beban Food Waste/Spillage,Beban,Operasional,Beban,Laba Rugi,
