kode,nama,tipe,nature,sub_nature,laporan,psak_ref,keterangan
1000,KAS & SETARA KAS,Aset,Lancar,Kas,Neraca,PSAK 1,
1100,Kas di Tangan,Aset,Lancar,Kas,Neraca,,
1200,Kas di Bank,Aset,Lancar,Kas,Neraca,,
1300,PIUTANG USAHA,Aset,Lancar,Piutang,Neraca,PSAK 72,
1310,Piutang Usaha - Trade,Aset,Lancar,Piutang,Neraca,,
1320,Piutang Usaha - PPN,Aset,Lancar,Piutang,Neraca,,
1400,PIUTANG LAIN-LAIN,Aset,Lancar,Piutang,Neraca,,
1410,Piutang Karyawan,Aset,Lancar,Piutang,Neraca,,
1500,PAJAK DIBAYAR DIMUKA,Aset,Lancar,Pajak,Neraca,,
1510,PPh 23 Dibayar Dimuka,Aset,Lancar,Pajak,Neraca,,
1520,PPN Masukan,Aset,Lancar,Pajak,Neraca,,
1600,PERSEDIAAN,Aset,Lancar,Persediaan,Neraca,PSAK 14,
1700,ASET TETAP,Aset,Tidak Lancar,Aset Tetap,Neraca,PSAK 16,
1710,Peralatan,Aset,Tidak Lancar,Aset Tetap,Neraca,,
1720,Kendaraan,Aset,Tidak Lancar,Aset Tetap,Neraca,,
1730,Akumulasi Penyusutan,Aset,Tidak Lancar,Akumulasi,Neraca,,
2000,HUTANG USAHA,Liabilitas,Lancar,Hutang,Neraca,,
2100,Hutang Usaha - Trade,Liabilitas,Lancar,Hutang,Neraca,,
2200,HUTANG PAJAK,Liabilitas,Lancar,Pajak,Neraca,,
2210,Hutang PPN Keluaran,Liabilitas,Lancar,Pajak,Neraca,,
2220,Hutang PPh 21,Liabilitas,Lancar,Pajak,Neraca,,
2230,Hutang PPh 23,Liabilitas,Lancar,Pajak,Neraca,,
2300,PENDAPATAN DITERIMA DIMUKA,Liabilitas,Lancar,Deferred,Neraca,PSAK 72,
2400,HUTANG BANK,Liabilitas,Tidak Lancar,Pinjaman,Neraca,,
3000,MODAL,Ekuitas,,,Neraca,,
3100,Modal Disetor,Ekuitas,,,Neraca,,
3200,Laba Ditahan,Ekuitas,,,Neraca,,
3300,Laba Berjalan,Ekuitas,,,Neraca,,
4000,PENDAPATAN,Pendapatan,,,Laba Rugi,PSAK 72,
4100,Pendapatan Usaha,Pendapatan,,,Laba Rugi,,
4200,Pendapatan Lainnya,Pendapatan,,,Laba Rugi,,
5000,BEBAN POKOK,Beban,,,Laba Rugi,,
5100,HPP,Beban,,,Laba Rugi,,
6000,BEBAN OPERASIONAL,Beban,,,Laba Rugi,,
6100,Beban Gaji,Beban,,,Laba Rugi,,
6200,Beban Sewa,Beban,,,Laba Rugi,,
6300,Beban Utilitas,Beban,,,Laba Rugi,,
6400,Beban Transportasi,Beban,,,Laba Rugi,,
6500,Beban Penyusutan,Beban,,,Laba Rugi,,
6600,Beban Lainnya,Beban,,,Laba Rugi,,
7000,PENDAPATAN/BEBAN LAIN,Beban,,,Laba Rugi,,
1315,Piutang Tamu/Corporate,Aset,Lancar,Piutang,Neraca,,
1415,Uang Muka Booking,Aset,Lancar,Piutang,Neraca,,
1605,Persediaan F&B (Minibar),Aset,Lancar,Persediaan,Neraca,,
2320,Deposit Tamu,Liabilitas,Lancar,Deferred,Neraca,,
4105,Pendapatan Kamar,Pendapatan,,,Laba Rugi,PSAK 72,
4106,Pendapatan F&B Restoran,Pendapatan,,,Laba Rugi,,
4107,Pendapatan Sewa Ruang (MICE),Pendapatan,,,Laba Rugi,,
4108,Pendapatan Laundry,Pendapatan,,,Laba Rugi,,
6160,Beban Laundry,Beban,,,Laba Rugi,,
6170,Beban Housekeeping,Beban,,,Laba Rugi,,
6180,Komisi Travel Agent,Beban,,,Laba Rugi,,
