kode,nama,tipe,nature,sub_nature,laporan,psak_ref,keterangan
1000,KAS & SETARA KAS,Aset,Lancar,Kas,Neraca,PSAK 1,Group kas
1100,Kas di Tangan,Aset,Lancar,Kas,Neraca,,Kas fisik
1110,Kas Kecil/Anggaran,Aset,Lancar,Kas,Neraca,,Petty cash
1200,Kas di Bank,Aset,Lancar,Kas,Neraca,,Group bank
1210,Kas Bank BCA,Aset,Lancar,Kas,Neraca,,Rekening operasional
1220,Kas Bank Mandiri,Aset,Lancar,Kas,Neraca,,Rekening payroll
1230,Kas Bank BRI,Aset,Lancar,Kas,Neraca,,Rekening cadangan
1300,PIUTANG USAHA,Aset,Lancar,Piutang,Neraca,PSAK 71,Gross piutang
1310,Piutang Usaha - Trade,Aset,Lancar,Piutang,Neraca,,Piutang dari penjualan
1320,Piutang Usaha - PPN,Aset,Lancar,Piutang,Neraca,,PPN dalam piutang
1400,PIUTANG LAIN-LAIN,Aset,Lancar,Piutang,Neraca,,Non-trade
1410,Piutang Karyawan,Aset,Lancar,Piutang,Neraca,,Kasbon/advance
1420,Piutang PPh Dibayar Lebih,Aset,Lancar,Piutang,Neraca,,Overpaid tax
1500,PAJAK DIBAYAR DIMUKA,Aset,Lancar,Pajak,Neraca,,Tax prepaid
1510,PPN Masukan,Aset,Lancar,Pajak,Neraca,,VAT input
1520,PPh 23/26 Dibayar Dimuka,Aset,Lancar,Pajak,Neraca,,Income tax prepaid
1530,PPh 25 Angsuran,Aset,Lancar,Pajak,Neraca,,Monthly corporate tax installment
1600,BIAYA DIBAYAR DIMUKA,Aset,Lancar,Prepaid,Neraca,,Deferred expenses
1610,Sewa Dibayar Dimuka,Aset,Lancar,Prepaid,Neraca,PSAK 73,Operating lease prepaid
1620,Asuransi Dibayar Dimuka,Aset,Lancar,Prepaid,Neraca,,Insurance prepaid
1630,Iklan Dibayar Dimuka,Aset,Lancar,Prepaid,Neraca,,Advertising prepaid
1700,PERSEDIAAN,Aset,Lancar,Persediaan,Neraca,PSAK 14,Inventory group
1710,Persediaan Barang Dagangan,Aset,Lancar,Persediaan,Neraca,,Merchandise
1720,Persediaan Bahan Baku,Aset,Lancar,Persediaan,Neraca,,Raw materials
1730,Persediaan Bahan Pembantu,Aset,Lancar,Persediaan,Neraca,,Supplies
1740,Persediaan Barang Dalam Perjalanan,Aset,Lancar,Persediaan,Neraca,,In-transit
1750,Persediaan Bahan Baku Dalam Proses,Aset,Lancar,Persediaan,Neraca,,WIP
1800,ASET TETAP,Aset,Tidak Lancar,Aset Tetap,Neraca,PSAK 16,PPE group
1810,Tanah,Aset,Tidak Lancar,Aset Tetap,Neraca,,Not depreciated
1820,Bangunan,Aset,Tidak Lancar,Aset Tetap,Neraca,,Useful life: 20-40 years
1830,Kendaraan,Aset,Tidak Lancar,Aset Tetap,Neraca,,Useful life: 5-8 years
1840,Peralatan Produksi,Aset,Tidak Lancar,Aset Tetap,Neraca,,Useful life: 5-10 years
1850,Peralatan Kantor,Aset,Tidak Lancar,Aset Tetap,Neraca,,Useful life: 3-5 years
1860,Mesin,Aset,Tidak Lancar,Aset Tetap,Neraca,,Useful life: 5-15 years
1870,Furniture & Fixture,Aset,Tidak Lancar,Aset Tetap,Neraca,,Useful life: 5 years
1900,AKUMULASI PENYUSUTAN,Aset,Tidak Lancar,Akum Penyusutan,Neraca,PSAK 16,Contra-asset
1910,Akum Penyusutan Bangunan,Aset,Tidak Lancar,Akum Penyusutan,Neraca,,Credit balance
1920,Akum Penyusutan Kendaraan,Aset,Tidak Lancar,Akum Penyusutan,Neraca,,Credit balance
1930,Akum Penyusutan Peralatan Produksi,Aset,Tidak Lancar,Akum Penyusutan,Neraca,,Credit balance
1940,Akum Penyusutan Peralatan Kantor,Aset,Tidak Lancar,Akum Penyusutan,Neraca,,Credit balance
1950,Akum Penyusutan Mesin,Aset,Tidak Lancar,Akum Penyusutan,Neraca,,Credit balance
1960,Akum Penyusutan Furniture,Aset,Tidak Lancar,Akum Penyusutan,Neraca,,Credit balance
2000,ASET TIDAK BERWUJUD,Aset,Tidak Lancar,Aset Tdk Berwujud,Neraca,ISAK 35,Intangible group
2010,Software/Aplikasi,Aset,Tidak Lancar,Aset Tdk Berwujud,Neraca,,Useful life: 3-5 years
2020,Lisensi,Aset,Tidak Lancar,Aset Tdk Berwujud,Neraca,,Useful life: per kontrak
2030,Akum Amortisasi Software,Aset,Tidak Lancar,Akum Amortisasi,Neraca,,Contra-asset
2100,GUANG ASET TETAP,Aset,Tidak Lancar,Guarantee,Neraca,PSAK 73,ROU asset
2110,Guang Aset Tetap - Bangunan,Aset,Tidak Lancar,Guarantee,Neraca,,Lease ROU building
2120,Guang Aset Tetap - Kendaraan,Aset,Tidak Lancar,Guarantee,Neraca,,Lease ROU vehicle
2130,Guang Aset Tetap - Peralatan,Aset,Tidak Lancar,Guarantee,Neraca,,Lease ROU equipment
3000,KEWAJIBAN JANGKA PENDEK,Kewajiban,Lancar,Kewajiban JP,Neraca,,Current liabilities
3100,Utang Usaha,Kewajiban,Lancar,Kewajiban JP,Neraca,,Trade payables
3110,Utang Usaha - PPN,Kewajiban,Lancar,Kewajiban JP,Neraca,,VAT in AP
3200,Utang PPN,Kewajiban,Lancar,Kewajiban JP,Neraca,,VAT payable
3210,PPN Keluaran,Kewajiban,Lancar,Kewajiban JP,Neraca,,VAT output
3300,Utang PPh,Kewajiban,Lancar,Kewajiban JP,Neraca,,Income tax payable
3310,Utang PPh 21,Kewajiban,Lancar,Kewajiban JP,Neraca,,Employee income tax
3320,Utang PPh 23,Kewajiban,Lancar,Kewajiban JP,Neraca,,Service income tax
3330,Utang PPh 25,Kewajiban,Lancar,Kewajiban JP,Neraca,,Corporate monthly installment
3340,Utang PPh 26,Kewajiban,Lancar,Kewajiban JP,Neraca,,Non-resident income tax
3400,Utang Gaji & Tunjangan,Kewajiban,Lancar,Kewajiban JP,Neraca,PSAK 68,Accrued payroll
3410,Utang Gaji,Kewajiban,Lancar,Kewajiban JP,Neraca,,Salary payable
3420,Utang Tunjangan,Kewajiban,Lancar,Kewajiban JP,Neraca,,Allowance payable
3500,Utang BPJS,Kewajiban,Lancar,Kewajiban JP,Neraca,,Social security
3510,Utang BPJS Kesehatan,Kewajiban,Lancar,Kewajiban JP,Neraca,,Health insurance
3520,Utang BPJS Ketenagakerjaan,Kewajiban,Lancar,Kewajiban JP,Neraca,,Employment insurance
3600,Pendapatan Diterima Dimuka,Kewajiban,Lancar,Kewajiban JP,Neraca,PSAK 72,Deferred revenue
3610,Pendapatan Penjualan Diterima Dimuka,Kewajiban,Lancar,Kewajiban JP,Neraca,,Unearned sales
3700,Kewajiban Sewa Jangka Pendek,Kewajiban,Lancar,Kewajiban JP,Neraca,PSAK 73,Short-term lease
3800,Utang Lain-lain Jangka Pendek,Kewajiban,Lancar,Kewajiban JP,Neraca,,Other current liabilities
4000,KEWAJIBAN JANGKA PANJANG,Kewajiban,Tidak Lancar,Kewajiban JLP,Neraca,,Non-current liabilities
4100,Utang Bank,Kewajiban,Tidak Lancar,Kewajiban JLP,Neraca,PSAK 71,Bank loan
4110,Utang Bank - Pokok,Kewajiban,Tidak Lancar,Kewajiban JLP,Neraca,,Principal
4200,Kewajiban Sewa Jangka Panjang,Kewajiban,Tidak Lancar,Kewajiban JLP,Neraca,PSAK 73,Long-term lease
4300,Utang Lain-lain Jangka Panjang,Kewajiban,Tidak Lancar,Kewajiban JLP,Neraca,,Other non-current
5000,MODAL,Ekuitas,Modal,Modal,Neraca,,Equity group
5100,Modal Disetor,Ekuitas,Modal,Modal,Neraca,,Paid-in capital
