kode,nama,tipe,nature,sub_nature,laporan,psak_ref,keterangan
1000,KAS & SETARA KAS,Aset,Lancar,Kas,Neraca,PSAK 1,
1100,Kas di Tangan,Aset,Lancar,Kas,Neraca,,
1200,Kas di Bank,Aset,Lancar,Kas,Neraca,,
1210,Kas Bank BCA,Aset,Lancar,Kas,Neraca,,
1220,Kas Bank Mandiri,Aset,Lancar,Kas,Neraca,,
1300,PIUTANG USAHA,Aset,Lancar,Piutang,Neraca,PSAK 72,Professional fees receivable
1310,Piutang Usaha - Trade,Aset,Lancar,Piutang,Neraca,,
1320,Piutang Usaha - PPN,Aset,Lancar,Piutang,Neraca,,
1400,PIUTANG LAIN-LAIN,Aset,Lancar,Piutang,Neraca,,
1410,Piutang Karyawan,Aset,Lancar,Piutang,Neraca,,
1500,PAJAK DIBAYAR DIMUKA,Aset,Lancar,Pajak,Neraca,,
1510,PPN Masukan,Aset,Lancar,Pajak,Neraca,,
1520,PPh 23/26 Dibayar Dimuka,Aset,Lancar,Pajak,Neraca,,
1600,BIAYA DIBAYAR DIMUKA,Aset,Lancar,Prepaid,Neraca,,
1610,Sewa Dibayar Dimuka,Aset,Lancar,Prepaid,Neraca,PSAK 73,
1700,PEKERJAAN DALAM PROSES,Aset,Lancar,WIP,Neraca,PSAK 72,Services in progress
1800,ASET TETAP,Aset,Tidak Lancar,Aset Tetap,Neraca,PSAK 16,
1810,Kendaraan,Aset,Tidak Lancar,Aset Tetap,Neraca,,
1820,Peralatan Kantor,Aset,Tidak Lancar,Aset Tetap,Neraca,,
1830,Komputer & Laptop,Aset,Tidak Lancar,Aset Tetap,Neraca,,
1900,AKUMULASI PENYUSUTAN,Aset,Tidak Lancar,Akum Penyusutan,Neraca,PSAK 16,
2000,ASET TIDAK BERWUJUD,Aset,Tidak Lancar,Aset Tdk Berwujud,Neraca,ISAK 35,
2010,Software/Aplikasi,Aset,Tidak Lancar,Aset Tdk Berwujud,Neraca,,
2100,GUANG ASET TETAP,Aset,Tidak Lancar,Guarantee,Neraca,PSAK 73,
3000,KEWAJIBAN JANGKA PENDEK,Kewajiban,Lancar,Kewajiban JP,Neraca,,
3100,Utang Usaha,Kewajiban,Lancar,Kewajiban JP,Neraca,,
3200,PPN Keluaran,Kewajiban,Lancar,Kewajiban JP,Neraca,,
3300,Utang PPh,Kewajiban,Lancar,Kewajiban JP,Neraca,,
3400,Utang Gaji & Tunjangan,Kewajiban,Lancar,Kewajiban JP,Neraca,PSAK 68,
3500,Utang BPJS,Kewajiban,Lancar,Kewajiban JP,Neraca,,
3600,Contract Liability,Kewajiban,Lancar,Kewajiban JP,Neraca,PSAK 72,
3700,Kewajiban Sewa Jangka Pendek,Kewajiban,Lancar,Kewajiban JP,Neraca,PSAK 73,
4000,KEWAJIBAN JANGKA PANJANG,Kewajiban,Tidak Lancar,Kewajiban JLP,Neraca,,
4100,Utang Bank,Kewajiban,Tidak Lancar,Kewajiban JLP,Neraca,,
4200,Kewajiban Sewa Jangka Panjang,Kewajiban,Tidak Lancar,Kewajiban JLP,Neraca,PSAK 73,
5000,MODAL,Ekuitas,Modal,Modal,Neraca,,
5100,Modal Disetor,Ekuitas,Modal,Modal,Neraca,,
5200,Prive,Ekuitas,Modal,Modal,Neraca,,
5300,Laba (Rugi) Ditahan,Ekuitas,Modal,Modal,Neraca,,
6000,PENDAPATAN,Pendapatan,Operasional,Pendapatan,Laba Rugi,PSAK 72,
6100,Pendapatan Jasa,Pendapatan,Operasional,Pendapatan,Laba Rugi,,
6200,Pendapatan Lain-lain,Pendapatan,Operasional,Pendapatan,Laba Rugi,,
7000,BEBAN OPERASIONAL,Beban,Operasional,Beban,Laba Rugi,,
7100,Beban Gaji & Tunjangan,Beban,Operasional,Beban,Laba Rugi,PSAK 68,
7200,Beban Sewa,Beban,Operasional,Beban,Laba Rugi,PSAK 73,
7300,Beban Utilitas,Beban,Operasional,Beban,Laba Rugi,,
7600,Beban Penyusutan,Beban,Operasional,Beban,Laba Rugi,PSAK 16,
7700,Beban Amortisasi,Beban,Operasional,Beban,Laba Rugi,ISAK 35,
8000,Beban Bunga,Beban,Operasional,Beban,Laba Rugi,PSAK 73,
8100,Beban Pajak,Beban,Operasional,Beban,Laba Rugi,,
8200,Beban Lain-lain,Beban,Operasional,Beban,Laba Rugi,
